start
time Gaze_x    Gaze_y    Contents
275   0.829598500103657 0.47735620528988    8
276   0.829755088555544 0.491764524264454    8
277   0.833307473370724 0.479946579847933    8
278   0.837280280217897 0.472213266010044    8
279   0.830970861337164 0.461201366451064    8
280   0.834715823823444 0.486928359013632    8
281   0.840559169175322 0.507326877778951    8
282   0.825033206038029 0.486713793264016    8
283   0.836800122267505 0.478023892665647    8
284   0.826678207158011 0.487024453860954    8
285   0.846610528934093 0.513274694546226    8
286   0.848256687651769 0.516327358699073    8
287   0.847461329970656 0.495822195324536    8
288   0.846406763796267 0.524086725605571    8
289   0.848470031725583 0.512695334221576    8
290   0.843008178356513 0.513887381083919    8
291   0.842658802974597 0.513182847396706    8
292   0.841488449415237 0.519208790198832    8
293   0.839754178447606 0.505790690485242    8
294   0.837542577473073 0.525401047543255    8
295   0.84214280258368 0.520893901562204    8
296   0.844123904081584 0.513798104678926    8
297   0.848456755265943 0.534083902837324    8
298   0.841946040046537 0.522398974035013    8
299   0.847964678195581 0.520327683601636    8
300   0.851180164128323 0.524203896602558    8
301   0.846782059994212 0.512071602071387    8
302   0.845711891324186 0.530943669502221    8
303   0.850426676080588 0.520411911162341    8
304   0.848421711296169 0.512181933203124    8
305   0.844222679278232 0.520061462066565    8
306   0.848479512636914 0.516153379166212    8
307   0.842119701716683 0.512335621923512    8
308   0.809092416742828 0.512792012555565    8
309   0.803044809243033 0.538475107767795    8
310   0.806161022750302 0.543423509396575    8
311   0.803257384820881 0.526150243562256    8
312   0.806035071277961 0.534338348256597    8
313   0.800621878243305 0.535050232239428    8
314   0.812193702590662 0.510888219112758    8
315   0.810744802061095 0.526083683776392    8
316   0.806412693645143 0.526699500247446    8
317   0.801316252677793 0.521122352378484    8
318   0.805762427149716 0.543059067801323    8
319   0.799439850561839 0.543543075605498    8
320   0.799783895940209 0.526952213676736    8
321   0.804096484721299 0.522028923207017    8
322   0.804550134709075 0.511209370855454    8
323   0.798265699194872 0.523631827854729    8
324   0.800345021411999 0.520421099164196    8
325   0.805067584627977 0.520803146178764    8
326   0.812115667151943 0.521374605368578    8
327   0.802962657337162 0.512587247459351    8
328   0.802318582519206 0.51180843347106    8
329   0.799659170223777 0.529306024614925    8
330   0.801605442831033 0.516389098043192    8
331   0.799588407626288 0.538859905912545    8
332   0.803836830072896 0.514284802719658    8
333   0.803438683626837 0.520491753212013    8
334   0.803529909024064 0.51739597076778    8
335   0.802750806384893 0.526832417667492    8
336   0.800497650124612 0.52439221855218    8
337   0.839025063667805 0.519923318734072    8
338   0.851275173036925 0.486842928638112    8
339   0.856124762203308 0.491278533961804    8
340   0.847177100310319 0.508224041294966    8
341   0.851033330711402 0.495474711236511    8
342   0.848315223297391 0.484008322301293    8
343   0.847290161841443 0.507251662174895    8
344   0.842638107243943 0.49304108435831    8
345   0.844137295907444 0.499857933734006    8
346   0.839850234182336 0.480454480518119    8
347   0.842547667469489 0.507640408080533    8
