start


confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=933 , Y=1114],  error Point2D [X=-27 , Y=34]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=945 , Y=1075],  error Point2D [X=-15 , Y=-5]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=939 , Y=1107],  error Point2D [X=-21 , Y=27]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=924 , Y=1105],  error Point2D [X=-36 , Y=25]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=923 , Y=1104],  error Point2D [X=-37 , Y=24]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=917 , Y=1172],  error Point2D [X=-43 , Y=92]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=932 , Y=1118],  error Point2D [X=-28 , Y=38]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=926 , Y=1132],  error Point2D [X=-34 , Y=52]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=935 , Y=1138],  error Point2D [X=-25 , Y=58]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=939 , Y=1115],  error Point2D [X=-21 , Y=35]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=935 , Y=1132],  error Point2D [X=-25 , Y=52]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=931 , Y=1103],  error Point2D [X=-29 , Y=23]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=942 , Y=1085],  error Point2D [X=-18 , Y=5]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=921 , Y=1094],  error Point2D [X=-39 , Y=14]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=902 , Y=1122],  error Point2D [X=-58 , Y=42]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=915 , Y=1120],  error Point2D [X=-45 , Y=40]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=949 , Y=1098],  error Point2D [X=-11 , Y=18]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=934 , Y=1098],  error Point2D [X=-26 , Y=18]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=927 , Y=1101],  error Point2D [X=-33 , Y=21]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=923 , Y=1104],  error Point2D [X=-37 , Y=24]
confirmPoint2D [X=960 , Y=1080],  GazePoint2D [X=952 , Y=1090],  error Point2D [X=-8 , Y=10]
